dataset,label,tier,method,status,stop_reason,iterations,rmse,psnr,ssim,full_image_rmse,full_image_psnr,full_image_ssim,water_background_rmse
nbpslice2d,A,matched,bent_ray_gn,success,max_iterations,20,9.046732332282248,20.94863009554328,0.5070048284483547,6.353513742245319,24.018185442089113,0.6875914443494824,3.433730636099959
nbpslice2d,A,matched,ray_born,success,max_iterations,400,3.299954544357233,29.708305760803356,0.8734754281611832,2.1313504550289393,33.50536759367229,0.9393230665534458,0.4118443082310915
nbpslice2d,A,matched,fwi_reference,stored_reference,historical_schedule_completed,63,5.592642780980521,25.12612330407069,0.6186331614088612,8.837345706432933,21.152028026128107,0.5785910115945982,10.505132634906737
nbpslice2d,B,matched,straight_cgls,success,objective_plateau,115,15.4502508446671,18.29509550290971,0.5883844348650389,9.35839491616641,22.649778838341447,0.8244487231839073,1.8062520064377876
nbpslice2d,B,matched,straight_sirt,success,small_model_update,609,22.385010566073923,15.074660125958797,0.53910041231934,13.42111573040379,19.518033774152137,0.814905779103776,1.0290366597003278
nbpslice2d,B,matched,straight_sart,success,small_model_update,238,22.156434524783528,15.1638087242201,0.5393481604049881,13.290585758985394,19.602923757759378,0.8140963952984557,1.1432908434814106
nbpslice2d,B,matched,bent_ray_gn,success,max_iterations,20,20.138807045582016,15.9931313831868,0.2991313790114626,14.102037789253737,19.088168717780015,0.5470731937856542,9.14032991433659
nbpslice2d,B,matched,ray_born,success,max_iterations,400,5.6302780989909476,27.063209266343613,0.8684043064870625,3.4205583821159027,31.391866052918857,0.934354896350394,0.7363196512167358
nbpslice2d,B,matched,fwi_reference,stored_reference,historical_schedule_completed,63,8.289530973852727,23.70320702765101,0.6173990756124337,10.377285146686303,21.75213119168635,0.5223498559468523,11.37676049204229
nbpslice2d,C,matched,straight_cgls,success,objective_plateau,113,18.046557002955876,18.553768547969703,0.5514847827876393,11.473219027677947,22.48795001090196,0.7991382570101754,2.4300764061844977
nbpslice2d,C,matched,straight_sirt,success,small_model_update,645,27.465157555861573,14.906013806261562,0.4865595658523893,17.239366601716462,18.95122959680397,0.780589079227862,0.9973847858156201
nbpslice2d,C,matched,straight_sart,success,small_model_update,243,27.23445363323723,14.97928235971369,0.4877720483375938,17.104568866750625,19.019413061847224,0.7797980649247085,1.241904429845692
nbpslice2d,C,matched,bent_ray_gn,success,max_iterations,20,28.852546185314058,14.477972802986699,0.2705862098342785,20.749301341138537,17.34158614131422,0.5279758362671947,13.04228349578729
nbpslice2d,C,matched,ray_born,success,max_iterations,400,6.024448837606916,28.083309290736167,0.8585837319094104,3.8291271208356985,32.019660011538676,0.9305929175558157,0.803752941135754
nbpslice2d,C,matched,fwi_reference,stored_reference,historical_schedule_completed,63,19.26012828682903,17.988472190315157,0.5239319916899008,17.450719257576285,18.845389065530558,0.45158594650877953,16.170587456025938
nbpslice2d,D,matched,straight_cgls,success,objective_plateau,116,11.285021795258286,20.28669555385062,0.5189674606000285,7.328401876412455,24.036558052719936,0.7858763812127331,1.5837466923084058
nbpslice2d,D,matched,straight_sirt,success,small_model_update,611,18.60374266353974,15.944737127619145,0.44234160796513733,11.95218013638227,19.787800998438495,0.7588187058509562,1.250395665555909
nbpslice2d,D,matched,straight_sart,success,small_model_update,232,18.379320605417984,16.050154525972896,0.4430733827587096,11.81547479045726,19.887720039310647,0.7581618799626609,1.3510819753718724
nbpslice2d,D,matched,bent_ray_gn,success,max_iterations,20,13.356151301198738,18.823116993854004,0.38319092499942486,9.744458633138398,21.561589271704406,0.607200368976477,6.078996884718298
nbpslice2d,D,matched,ray_born,success,max_iterations,400,3.646948830900896,30.098150199216413,0.8579534481474652,2.363545070502611,33.865465831768624,0.9335438131154044,0.47309746502182565
nbpslice2d,D,matched,fwi_reference,stored_reference,historical_schedule_completed,63,6.874933523826947,24.59137353408124,0.6611240479254891,9.657767034231167,21.63920909579939,0.5734018857665242,11.191783808375579
